Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone XS Max (Gold, 512 GB)",4.6,512,16.51,A12,1453.0,146.0,144900
"APPLE iPhone 14 Pro Max (Space Black, 256 GB)",4.6,256,17.02,A16,1985.0,145.0,137999
"APPLE iPhone 13 mini ((PRODUCT)RED, 256 GB)",4.5,256,13.72,A15,3497.0,302.0,71999
"APPLE iPhone 13 mini (Blue, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"APPLE iPhone 14 Pro Max (Deep Purple, 512 GB)",4.6,512,17.02,A16,1985.0,145.0,157999
"APPLE iPhone 14 Plus (Purple, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
"APPLE iPhone SE (Black, 64 GB)",4.5,64,11.94,A13,154498.0,12077.0,28990
"APPLE iPhone 13 Pro Max (Gold, 512 GB)",4.6,512,17.02,A15,1921.0,184.0,134999
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)",4.7,512,15.49,A15,1483.0,122.0,125999
"APPLE iPhone 14 Pro Max (Gold, 1 TB)",4.6,1,17.02,A16,1985.0,145.0,177999
"APPLE iPhone 13 Pro (Graphite, 128 GB)",4.7,128,15.49,A15,1483.0,122.0,119900
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone 6s (Space Grey, 64 GB)",4.5,64,11.94,,93095.0,9228.0,49999
"APPLE iPhone SE (White, 64 GB)",4.5,64,11.94,A13,154498.0,12077.0,28990
"APPLE iPhone 13 mini (Pink, 128 GB)",4.5,128,13.72,A15,3497.0,302.0,61999
"APPLE iPhone 13 Pro (Graphite, 512 GB)",4.7,512,15.49,A15,1483.0,122.0,125999
"APPLE iPhone 13 mini (Midnight, 256 GB)",4.5,256,13.72,A15,3497.0,302.0,71999
"APPLE iPhone 11 (Yellow, 64 GB)",4.6,64,15.49,A13,200360.0,11406.0,37999
"APPLE iPhone 12 Pro (Gold, 512 GB)",4.5,512,15.49,A14,1332.0,,106699
"APPLE iPhone XR (Coral, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,47900
"APPLE iPhone 12 (Red, 256 GB)",4.6,256,15.49,A14,190638.0,12876.0,64999
"APPLE iPhone 11 Pro Max (Silver, 64 GB)",4.7,64,16.51,A13,1101.0,100.0,95699
"APPLE iPhone 12 Pro (Silver, 512 GB)",4.5,512,15.49,A14,1332.0,,106699
"APPLE iPhone XR (White, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 14 Pro (Silver, 512 GB)",4.6,512,15.49,A16,1781.0,130.0,149999
"APPLE iPhone 12 mini (Black, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone 14 Pro Max (Silver, 512 GB)",4.6,512,17.02,A16,1985.0,145.0,157999
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",4.5,128,17.02,A14,1270.0,103.0,95599
"APPLE iPhone 11 Pro Max (Space Grey, 256 GB)",4.7,256,16.51,A13,1101.0,100.0,131900
"APPLE iPhone XS Max (Silver, 64 GB)",4.6,64,16.51,A12,1453.0,146.0,109900
"APPLE iPhone 13 Pro Max (Silver, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone 13 Pro Max (Graphite, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone XR ((PRODUCT)RED, 128 GB)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone 12 mini (White, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone XR ((PRODUCT)RED, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 12 (Green, 256 GB)",4.6,256,15.49,A14,190638.0,12876.0,64999
"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone 14 Plus (Yellow, 128 GB)",4.6,128,17.02,A15,15369.0,929.0,76999
